"scientificname","commonname","taxonomicrank","matchmethod","taxonomicgroup","scientificnames_submitted","statelist_2005","statelist_2015","sgcn2005","sgcn2015","listingStatus","kingdom","phylum","class","order","family","genus"
"Discosoma neglectum","Umbrella Mushroom, Umbrella Corallimorph","Species","Fuzzy Match","Other Invertebrates","Discosoma neglecta","","Florida",0,1,NA,"Animalia","Cnidaria","Anthozoa","Corallimorpharia","Actinodiscidae","Discosoma"
"Discosoma sanctithomae","Warty False Coral","Species","Exact Match","Other Invertebrates","Discosoma sanctithomae","Florida","Florida",1,1,NA,"Animalia","Cnidaria","Anthozoa","Corallimorpharia","Actinodiscidae","Discosoma"
"Discosomidae","no common name","Family","Followed Accepted AphiaID","Other Invertebrates","Discosomatidae","","Florida",0,1,NA,"Animalia","Cnidaria","Anthozoa","Corallimorpharia","Discosomidae",NA
"Discus bryanti","Sawtooth Disc","Species","Exact Match","Mollusks","Discus bryanti","Tennessee","Tennessee",1,1,NA,"Animalia","Mollusca","Gastropoda","Stylommatophora","Discidae","Discus"
"Discus catskillensis","Angular Disc","Species","Exact Match","Mollusks","Discus catskillensis","Delaware,Maryland","Delaware,Maryland,Pennsylvania,West Virginia",2,4,NA,"Animalia","Mollusca","Gastropoda","Stylommatophora","Discidae","Discus"
"Discus clappi","Channelled Disc","Species","Exact Match","Mollusks","Discus clappi","Tennessee","Tennessee",1,1,NA,"Animalia","Mollusca","Gastropoda","Stylommatophora","Discidae","Discus"
"Discus nigrimontanus","Black Mountain disc","Species","Exact Match","Mollusks","Discus nigrimontanus","Missouri,Virginia","Virginia",2,1,NA,"Animalia","Mollusca","Gastropoda","Stylommatophora","Discidae","Discus"
"Discus whitneyi","Forest Disc","Species","Exact Match","Other Invertebrates","Discus whitneyi","","Arizona,West Virginia",0,2,NA,"Animalia","Mollusca","Gastropoda","Stylommatophora","Discidae","Discus"
"Disonycha barberi","A leaf beetle","Species","Exact Match","Insects","Disonycha barberi,Disonycha barberi (Blake)","Texas","Texas",1,1,NA,"Animalia","Arthropoda","Insecta","Coleoptera","Chrysomelidae","Disonycha"
"Disonycha stenosticha","no common name","Species","Exact Match","Insects","Disonycha stenosticha,Disonycha stenosticha (Schaeffer)","Texas","Texas",1,1,NA,"Animalia","Arthropoda","Insecta","Coleoptera","Chrysomelidae","Disonycha"
"Dissochaetus oblitus","round fungus beetle","Species","Exact Match","Insects","Dissochaetus oblitus","","Tennessee",0,1,NA,"Animalia","Arthropoda","Insecta","Coleoptera","Leiodidae","Dissochaetus"
"Distichlis littoralis","Key Grass","Species","Fuzzy Match","Plants","Monanthochloe littoralis","","Louisiana",0,1,NA,"Plantae","Tracheophyta","Magnoliopsida","Poales","Poaceae","Distichlis"
"Distichopora violacea","Violet Lace Coral","Species","Exact Match","Other Invertebrates","Distichopora violacea","Florida","Florida",1,1,NA,"Animalia","Cnidaria","Hydrozoa","Anthoathecatae","Stylasteridae","Distichopora"
"Distocambarus carlsoni","Mimic Crayfish","Species","Exact Match","Other","Distocambarus carlsoni","South Carolina","South Carolina",1,1,"Under Review in the Candidate or Petition Process","Animalia","Arthropoda","Malacostraca","Decapoda","Cambaridae","Distocambarus"
"Distocambarus crockeri","No Common Name","Species","Exact Match","Other","Distocambarus crockeri","South Carolina","South Carolina",1,1,NA,"Animalia","Arthropoda","Malacostraca","Decapoda","Cambaridae","Distocambarus"
"Distocambarus devexus","Broad River Burrowing Crayfish","Species","Exact Match","Other","Distocambarus devexus","Georgia","Georgia",1,1,"Under Review in the Candidate or Petition Process","Animalia","Arthropoda","Malacostraca","Decapoda","Cambaridae","Distocambarus"
"Distocambarus hunteri","No Common Name","Species","Exact Match","Other","Distocambarus hunteri","South Carolina","South Carolina",1,1,NA,"Animalia","Arthropoda","Malacostraca","Decapoda","Cambaridae","Distocambarus"
"Distocambarus youngineri","Newberry Burrowing Crayfish","Species","Exact Match","Other","Distocambarus youngineri","South Carolina","South Carolina",1,1,"Under Review in the Candidate or Petition Process","Animalia","Arthropoda","Malacostraca","Decapoda","Cambaridae","Distocambarus"
"Ditaxis aphoroides","Hill Country wild-mercury","Species","Fuzzy Match","Plants","Argythamnia aphoroides","","Texas",0,1,"Species of Concern","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","Ditaxis"
"Dixioria brooksi","Brooks millipede","Species","Exact Match","Other Invertebrates","Dixioria brooksi","Virginia","Virginia",1,1,NA,"Animalia","Arthropoda","Diplopoda","Polydesmida","Xystodesmidae","Dixioria"
"Dixioria coronata","A millipede","Species","Exact Match","Other Invertebrates","Dixioria coronata","Virginia","Virginia",1,1,NA,"Animalia","Arthropoda","Diplopoda","Polydesmida","Xystodesmidae","Dixioria"
"Dixioria fowleri","A millipede","Species","Exact Match","Other Invertebrates","Dixioria fowleri","Virginia","Virginia",1,1,NA,"Animalia","Arthropoda","Diplopoda","Polydesmida","Xystodesmidae","Dixioria"
"Dolabrifera dolabrifera","Warty Seacat","Species","Exact Match","Mollusks","Dolabrifera dolabrifera","","Florida",0,1,NA,"Animalia","Mollusca","Gastropoda","Anaspidea","Notarchidae","Dolabrifera"
"Dolania americana","American Sand Burrowing Mayfly","Species","Exact Match","Insects","Dolania americana,Dolania Americana","Florida,South Carolina,Wisconsin","Florida,South Carolina,Wisconsin",3,3,"Species of Concern","Animalia","Arthropoda","Insecta","Ephemeroptera","Behningiidae","Dolania"
"Dolichonyx oryzivorus","Bobolink","Species","Fuzzy Match","Birds","Dolichonyx oryzivorus,Dolichonyx orzivorus","Colorado,Connecticut,Delaware,District of Columbia,Illinois,Iowa,Kansas,Kentucky,Maine,Maryland,Michigan,Minnesota,Montana,Nevada,New Jersey,New York,North Carolina,North Dakota,Ohio,Oregon,Puerto Rico,Rhode Island,Utah,Vermont,West Virginia,Wisconsin,Wyoming","Colorado,Connecticut,Delaware,District of Columbia,Florida,Idaho,Illinois,Iowa,Kansas,Kentucky,Maine,Maryland,Massachusetts,Minnesota,Missouri,Nevada,New Hampshire,New Jersey,New York,North Carolina,North Dakota,Ohio,Oregon,Pennsylvania,Rhode Island,Vermont,West Virginia,Wisconsin,Wyoming",27,29,NA,"Animalia","Chordata","Aves","Passeriformes","Icteridae","Dolichonyx"
"Donax variabilis","Variable coquina (delete clam)","Species","Exact Match","Mollusks","Conax variabilis,Donax variabilis","Florida,South Carolina","South Carolina",2,1,NA,"Animalia","Mollusca","Bivalvia","Veneroida","Donacidae","Donax"
"Donnaldsoncythere tuberosa","(a cave obligate shrimp)","Species","Exact Match","Other","Donnaldsoncythere tuberosa","Tennessee","Tennessee",1,1,NA,"Animalia","Arthropoda","Ostracoda","Podocopida","Entocytheridae","Donnaldsoncythere"
"Donrichardsia macroneuron","Don Richard's spring moss","Species","Exact Match","Plants","Donrichardsia macroneuron","","Texas",0,1,NA,"Plantae","Bryophyta","Bryopsida","Hypnales","Amblystegiaceae","Donrichardsia"
"Dorymyrmex bossutus","Sandhills cone ant","Species","Exact Match","Insects","Dorymyrmex bossutus","","Georgia",0,1,NA,"Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Dorymyrmex"
"Dorymyrmex flavopectus","Bi-colored Scrub Cone Ant","Species","Exact Match","Insects","Dorymyrmex flavopectus","","Florida",0,1,NA,"Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Dorymyrmex"
"Dosilia palmeri","Oklawaha Sponge","Species","Exact Match","Other Invertebrates","Dosilia palmeri","Florida","Florida",1,1,"Species of Concern","Animalia","Porifera","Demospongiae","Haplosclerida","Spongillidae","Dosilia"
"Draba aprica","Open-Ground Whitlow-Grass","Species","Exact Match","Plants","Draba aprica","Georgia","Georgia,South Carolina",1,2,"Resolved Taxon","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","Draba"
"Draba cuneifolia","Wedge-leaved Whitlow-grass","Species","Exact Match","Plants","Draba cuneifolia","Nebraska","Louisiana,Tennessee",1,2,NA,"Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","Draba"
"Draba ramosissima","Branching Whitlow-grass","Species","Exact Match","Plants","Draba ramosissima","","Tennessee",0,1,NA,"Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","Draba"
"Draba reptans","Carolina Whitlow-grass","Species","Exact Match","Plants","Draba reptans","","South Carolina",0,1,NA,"Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","Draba"
"Draba standleyi","Standley's draba","Species","Exact Match","Plants","Draba standleyi","","Texas",0,1,"Species of Concern","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","Draba"
"Drassyllus louisianus","A gnaphosid spider","Species","Exact Match","Arachnids","Drassyllus louisianus","Virginia","Virginia",1,1,NA,"Animalia","Arthropoda","Arachnida","Araneae","Gnaphosidae","Drassyllus"
"Drepanolejeunea appalachiana","(a liverwort)","Species","Exact Match","Plants","Drepanolejeunea appalachiana","","Tennessee",0,1,NA,"Plantae","Marchantiophyta","Jungermanniopsida","Porellales","Lejeuneaceae","Drepanolejeunea"
"Drilonereis longa","'A polychaeate'","Species","Exact Match","Other Invertebrates","Drilonereis longa","","South Carolina",0,1,NA,"Animalia","Annelida","Errantia","Eunicida","Oenonidae","Drilonereis"
"Dromochorus belfragei","Loamy-ground Tiger Beetle","Species","Fuzzy Match","Insects","Cicindelabelfragei","","Oklahoma",0,1,NA,"Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Dromochorus"
"Dromochorus pilatei","Cajun Tiger Beetle","Species","Exact Match","Insects","Dromochorus pilatei","","Louisiana",0,1,NA,"Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Dromochorus"
"Dromochorus pruininus","Loamy-ground Tiger Beetle","Species","Fuzzy Match","Insects","Cicindela pruinina,Dromochorus pruinina","Missouri","Missouri",1,1,NA,"Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Dromochorus"
"Dromogomphus armatus","Southeastern Spinyleg","Species","Exact Match","Insects","Dromogomphus armatus","Florida,West Virginia","Florida",2,1,NA,"Animalia","Arthropoda","Insecta","Odonata","Gomphidae","Dromogomphus"
"Dromogomphus spoliatus","Flag-tailed Spinyleg","Species","Exact Match","Insects","Dromogomphus spoliatus","West Virginia","Colorado,West Virginia",1,2,NA,"Animalia","Arthropoda","Insecta","Odonata","Gomphidae","Dromogomphus"
"Dromus dromas","Dromedary Pearlymussel","Species","Exact Match","Mollusks","Dromus dromas","Alabama,Kentucky,Tennessee,Virginia","Alabama,Kentucky,Tennessee,Virginia",4,4,"Experimental Population, Non-Essential","Animalia","Mollusca","Bivalvia","Unionoida","Unionidae","Dromus"
"Drosera brevifolia","Dwarf Sundew","Species","Exact Match","Plants","Drosera brevifolia","","Tennessee",0,1,NA,"Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Droseraceae","Drosera"
"Drosera capillaris","Pink Sundew","Species","Exact Match","Plants","Drosera capillaris","","Tennessee",0,1,NA,"Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Droseraceae","Drosera"
"Drosera intermedia","Spoonleaf Sundew","Species","Exact Match","Plants","Drosera intermedia","","Louisiana",0,1,NA,"Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Droseraceae","Drosera"
"Drosera rotundifolia","Roundleaf Sundew","Species","Exact Match","Plants","Drosera rotundifolia","","Tennessee",0,1,NA,"Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Droseraceae","Drosera"
"Drosera tracyi","Tracy's Sundew","Species","Exact Match","Plants","Drosera tracyi","","Louisiana",0,1,NA,"Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Droseraceae","Drosera"
"Dryachloa dauca","Carrot Glass Snail","Species","Exact Match","Mollusks","Dryachloa dauca","","Florida",0,1,NA,"Animalia","Mollusca","Gastropoda","Stylommatophora","Helicarionidae","Dryachloa"
"Drymarchon couperi","Eastern Indigo Snake","Species","Exact Match","Reptiles","Drymarchon couperi,Drymarchon  couperi","Alabama,Florida,Georgia,Mississippi","Alabama,Florida,Georgia,Mississippi",4,4,NA,"Animalia","Chordata","Reptilia","Squamata","Colubridae","Drymarchon"
"Drymarchon melanurus erebennus","Texas Indigo Snake","Subspecies","Exact Match","Reptiles","Drymarchon melanurus erebennus","","Texas",0,1,NA,"Animalia","Chordata","Reptilia","Squamata","Colubridae","Drymarchon"
"Drymobius margaritiferus","speckled racer","Species","Exact Match","Reptiles","Drymobius margaritiferus","Texas","Texas",1,1,NA,"Animalia","Chordata","Reptilia","Squamata","Colubridae","Drymobius"
"Dryobius sexnotatus","Six-banded longhorn beetle","Species","Exact Match","Insects","Dryobius sexnotatus","Arkansas,Indiana,Maryland,Michigan,Pennsylvania,Virginia","Arkansas,Louisiana,Maryland,Michigan,Pennsylvania,Virginia",6,6,"Species of Concern","Animalia","Arthropoda","Insecta","Coleoptera","Cerambycidae","Dryobius"
"Dryocopus pileatus","Pileated Woodpecker","Species","Exact Match","Birds","Dryocopus pileatus","Connecticut,Kansas,Maryland,Montana,Nebraska,Ohio,Oregon,Rhode Island,Texas,Washington","Nebraska,Oregon,Rhode Island,South Carolina,Texas",10,5,"Species of Concern","Animalia","Chordata","Aves","Piciformes","Picidae","Dryocopus"
"Dryopteris carthusiana","Spinulose Shield Fern","Species","Exact Match","Plants","Dryopteris carthusiana","Missouri,Nebraska","Missouri,Nebraska,South Carolina,Tennessee",2,4,NA,"Plantae","Tracheophyta","Polypodiopsida","Polypodiales","Dryopteridaceae","Dryopteris"
"Dryopteris celsa","Log Fern","Species","Exact Match","Plants","Dryopteris celsa","Missouri","Louisiana,Missouri,West Virginia",1,3,NA,"Plantae","Tracheophyta","Polypodiopsida","Polypodiales","Dryopteridaceae","Dryopteris"
"Dryopteris cristata","Crested shield fern","Species","Exact Match","Plants","Dryopteris cristata","Missouri","Missouri,Nebraska,Tennessee",1,3,NA,"Plantae","Tracheophyta","Polypodiopsida","Polypodiales","Dryopteridaceae","Dryopteris"
"Dryopteris goldiana","Goldie fern","Species","Exact Match","Plants","Dryopteris goldiana","Missouri","Missouri,South Carolina",1,2,NA,"Plantae","Tracheophyta","Polypodiopsida","Polypodiales","Dryopteridaceae","Dryopteris"
"Dryopteris intermedia","Evergreen Woodfern","Species","Exact Match","Plants","Dryopteris intermedia","Missouri","Missouri",1,1,NA,"Plantae","Tracheophyta","Polypodiopsida","Polypodiales","Dryopteridaceae","Dryopteris"
"Dryopteris ludoviciana","Southern Shield Woodfern","Species","Exact Match","Plants","Dryopteris ludoviciana","","Louisiana",0,1,NA,"Plantae","Tracheophyta","Polypodiopsida","Polypodiales","Dryopteridaceae","Dryopteris"
"Dubiraphia parva","Little Dubiraphian Riffle Beetle","Species","Exact Match","Insects","Dubiraphia parva","Oklahoma","Louisiana,Oklahoma",1,2,"Species of Concern","Animalia","Arthropoda","Insecta","Coleoptera","Elmidae","Dubiraphia"
"Dubusia","Teays Burrowing Crayfish","Genus","Fuzzy Match","Other","Dubius A","","West Virginia",0,1,NA,"Animalia","Chordata","Aves","Passeriformes","Thraupidae","Dubusia"
"Dulichium","Coosa Prairie Threeway Sedge","Genus","Exact Match","Plants","Dulichium sp. nov.  (unpublished)","","Georgia",0,1,NA,"Plantae","Tracheophyta","Magnoliopsida","Poales","Cyperaceae","Dulichium"
"Dulichium arundinaceum","Pond-Sedge","Species","Exact Match","Plants","Dulichium arundinaceum","Nebraska","Louisiana",1,1,NA,"Plantae","Tracheophyta","Magnoliopsida","Poales","Cyperaceae","Dulichium"
"Dumetella carolinensis","Gray Catbird","Species","Exact Match","Birds","Dumetella carolinensis","Arizona,Connecticut,New Jersey,Ohio,Rhode Island,Virginia","Arizona,New Jersey,Pennsylvania,Rhode Island,Virginia",6,5,NA,"Animalia","Chordata","Aves","Passeriformes","Mimidae","Dumetella"
"Dytiscidae","predaceous diving beetles","Family","Exact Match","Insects","Dytiscidae","","Florida",0,1,NA,"Animalia","Arthropoda","Insecta","Coleoptera","Dytiscidae",NA
"Eburia stroheckeri","Strohecker's Ivory-spotted Long-horned Beetle","Species","Exact Match","Insects","Eburia stroheckeri","Florida","Florida",1,1,NA,"Animalia","Arthropoda","Insecta","Coleoptera","Cerambycidae","Eburia"
"Eccoptura xanthenes","A Stonefly","Species","Exact Match","Insects","Eccoptura xanthenes","","Florida,Rhode Island",0,2,NA,"Animalia","Arthropoda","Insecta","Plecoptera","Perlidae","Eccoptura"
"Eccremidium floridanum","Florida Pygmy Moss","Species","Exact Match","Plants","Eccremidium floridanum","Georgia","Georgia",1,1,NA,"Plantae","Bryophyta","Bryopsida","Dicranales","Ditrichaceae","Eccremidium"
"Echeandia chandleri","Lila de los llanos","Species","Exact Match","Plants","Echeandia chandleri","","Texas",0,1,"Species of Concern","Plantae","Tracheophyta","Magnoliopsida","Asparagales","Asparagaceae","Echeandia"
"Echeandia texensis","Green Island echeandia","Species","Exact Match","Plants","Echeandia texensis","","Texas",0,1,NA,"Plantae","Tracheophyta","Magnoliopsida","Asparagales","Asparagaceae","Echeandia"
"Echinacea atrorubens","Topeka purple-coneflower","Species","Exact Match","Plants","Echinacea atrorubens","","Texas",0,1,NA,"Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Echinacea"
"Echinacea laevigata","Smooth Purple Coneflower","Species","Exact Match","Plants","Echinacea laevigata","Georgia","Georgia,South Carolina",1,2,"Endangered","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Echinacea"
"Echinacea pallida","Pale Purple Coneflower","Species","Exact Match","Plants","Echinacea pallida","Nebraska","Nebraska,Tennessee",1,2,NA,"Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Echinacea"
"Echinacea paradoxa","Yellow coneflower","Species","Exact Match","Plants","Echinacea paradoxa","","Missouri",0,1,NA,"Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Echinacea"
"Echinacea purpurea","Purple Coneflower","Species","Exact Match","Plants","Echinacea purpurea","","Louisiana",0,1,NA,"Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Echinacea"
"Echinacea simulata","Prairie Purple Coneflower","Species","Exact Match","Plants","Echinacea simulata","Georgia","Georgia,Tennessee",1,2,NA,"Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Echinacea"
"Echinacea tennesseensis","Tennessee Coneflower","Species","Exact Match","Plants","Echinacea tennesseensis","","Tennessee",0,1,"Recovery","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Echinacea"
"Echinaster echinophorus","Thorny Sea Star","Species","Exact Match","Other Invertebrates","Echinaster echinophorus","","Florida",0,1,NA,"Animalia","Echinodermata","Asteroidea","Spinulosida","Echinasteridae","Echinaster"
"Echinasteridae","no common name","Family","Exact Match","Other Invertebrates","Echinasteridae","","Florida",0,1,NA,"Animalia","Echinodermata","Asteroidea","Spinulosida","Echinasteridae",NA
"Echinocereus chisosensis ssp. chisosensis","Chisos Mountains hedgehog cactus","Subspecies","Fuzzy Match","Plants","Echinocereus chisoensis var. chisoensis","","Texas",0,1,"Threatened","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Cactaceae","Echinocereus"
"Echinocereus coccineus ssp. paucispinus","Texas claret-cup cactus","Subspecies","Fuzzy Match","Plants","Echinocereus coccineus var. paucispinus","","Texas",0,1,NA,"Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Cactaceae","Echinocereus"
"Echinocereus davisii","Davis' green pitaya","Species","Exact Match","Plants","Echinocereus davisii","","Texas",0,1,NA,"Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Cactaceae","Echinocereus"
"Echinocereus papillosus","Yellow-flowered alicoche","Species","Exact Match","Plants","Echinocereus papillosus","","Texas",0,1,NA,"Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Cactaceae","Echinocereus"
"Echinocereus reichenbachii","Bailey's hedgehog cactus","Species","Fuzzy Match","Plants","Echinocereus reichenbachii subsp. baileyi,Echinocereus reichenbachii subsp. fitchii,Echinocereus reichenbachii var. albertii","","Texas",0,1,"Endangered","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Cactaceae","Echinocereus"
"Echinocereus viridiflorus ssp. chloranthus","Golden-spine hedgehog cactus","Subspecies","Fuzzy Match","Plants","Echinocereus chloranthus var. neocapillus","","Texas",0,1,NA,"Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Cactaceae","Echinocereus"
"Echinocereus viridiflorus ssp. correllii","Correll's green pitaya","Subspecies","Fuzzy Match","Plants","Echinocereus viridiflorus var. correllii","","Texas",0,1,NA,"Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Cactaceae","Echinocereus"
"Echinochloa walteri","Walter's Barnyard Grass","Species","Exact Match","Plants","Echinochloa walteri","Missouri","Tennessee",1,1,NA,"Plantae","Tracheophyta","Magnoliopsida","Poales","Poaceae","Echinochloa"
"Echinodorus berteroi","Erect Burhead","Species","Fuzzy Match","Plants","Echinodorus rostratus","","Tennessee",0,1,NA,"Plantae","Tracheophyta","Magnoliopsida","Alismatales","Alismataceae","Echinodorus"
"Echinodorus tenellus","Dwarf Burhead","Species","Fuzzy Match","Plants","Echinodorus tenellus,Echinodorus tenellus var. parvulus","Missouri","Louisiana",1,1,NA,"Plantae","Tracheophyta","Magnoliopsida","Alismatales","Alismataceae","Echinodorus"
"Ectemnia invenusta","Black Fly","Species","Exact Match","Insects","Ectemnia invenusta","South Carolina","South Carolina",1,1,NA,"Animalia","Arthropoda","Insecta","Diptera","Simuliidae","Ectemnia"
"Egretta caerulea","Little Blue Heron","Species","Exact Match","Birds","Egretta caerulea","Arkansas,Connecticut,Delaware,Florida,Illinois,Kansas,Kentucky,Maryland,Mississippi,Missouri,New Jersey,New York,North Carolina,Ohio,Oklahoma,Rhode Island,South Carolina,Tennessee,Texas,Virginia,Virgin Islands","Connecticut,Delaware,District of Columbia,Florida,Georgia,Illinois,Iowa,Kentucky,Louisiana,Maine,Maryland,Mississippi,Missouri,New Jersey,New York,North Carolina,Oklahoma,South Carolina,Tennessee,Texas,Virginia",21,21,NA,"Animalia","Chordata","Aves","Pelecaniformes","Ardeidae","Egretta"
"Egretta rufescens","Reddish Egret","Species","Exact Match","Birds","Egretta rufescens","Alabama,Florida,Louisiana,Mississippi,Puerto Rico,Texas","Alabama,Florida,Louisiana,Mississippi,South Carolina,Texas",6,6,"Species of Concern","Animalia","Chordata","Aves","Pelecaniformes","Ardeidae","Egretta"
"Egretta thula","Snowy Egret","Species","Exact Match","Birds","Egetta thula,Egretta thula","Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Idaho,Illinois,Kansas,Maine,Maryland,Massachusetts,Mississippi,Missouri,Nevada,New Jersey,New York,North Carolina,Ohio,Oklahoma,Oregon,Rhode Island,South Carolina,Texas,Wisconsin,Wyoming","Arizona,Connecticut,Delaware,Florida,Illinois,Maine,Maryland,Massachusetts,Mississippi,Missouri,New Jersey,New York,North Carolina,Ohio,Oklahoma,Oregon,Rhode Island,South Carolina,Texas,Virginia,Wyoming",27,21,NA,"Animalia","Chordata","Aves","Pelecaniformes","Ardeidae","Egretta"
"Egretta tricolor","Tri-colored Heron","Species","Fuzzy Match","Birds","Egretta tricolor,Hydranassa tricolor","Delaware,Florida,Georgia,Maine,Maryland,Mississippi,New Jersey,New York,North Carolina,South Carolina,Texas,Virginia,Virgin Islands","Arkansas,Delaware,Florida,Georgia,Maryland,Mississippi,New Jersey,New York,North Carolina,South Carolina,Texas",13,11,NA,"Animalia","Chordata","Aves","Pelecaniformes","Ardeidae","Egretta"
"Eidmannella bullata","no common name","Species","Exact Match","Arachnids","Eidmannella bullata,Eidmannella bullata (Gertsch)","Texas","Texas",1,1,NA,"Animalia","Arthropoda","Arachnida","Araneae","Nesticidae","Eidmannella"
"Eidmannella delicata","no common name","Species","Exact Match","Arachnids","Eidmannella delicata,Eidmannella delicata (Gertsch)","Texas","Texas",1,1,"Resolved Taxon","Animalia","Arthropoda","Arachnida","Araneae","Nesticidae","Eidmannella"
"Eidmannella nasuta","no common name","Species","Exact Match","Arachnids","Eidmannella nasuta,Eidmannella nasuta (Gertsch)","Texas","Texas",1,1,NA,"Animalia","Arthropoda","Arachnida","Araneae","Nesticidae","Eidmannella"
"Eidmannella pallida","Pallid cave spider","Species","Fuzzy Match","Other","Eidmanella pallida","","Tennessee",0,1,NA,"Animalia","Arthropoda","Arachnida","Araneae","Nesticidae","Eidmannella"
"Eidmannella reclusa","A cave obligate spider","Species","Exact Match","Other Invertebrates","Eidmannella reclusa,Eidmannella reclusa (Gertsch)","Texas","Texas",1,1,NA,"Animalia","Arthropoda","Arachnida","Araneae","Nesticidae","Eidmannella"
"Eidmannella tuckeri","A cave obligate spider","Species","Fuzzy Match","Other Invertebrates","Eidmannella tuckeri (Cokendolpher and Reddell),Eidmennella tuckeri","Texas","Texas",1,1,NA,"Animalia","Arthropoda","Arachnida","Araneae","Nesticidae","Eidmannella"
"Eilema bicolor","Bicolor Moth","Species","Exact Match","Insects","Eilema bicolor","West Virginia","West Virginia",1,1,NA,"Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Eilema"
"Elanoides forficatus","American Swallow-tailed Kite","Species","Fuzzy Match","Birds","Elanoides forficatus,Elanoides forticatus","Alabama,Florida,Georgia,Kentucky,Louisiana,Mississippi,Missouri,North Carolina,Ohio,Oklahoma,South Carolina,Tennessee,Texas","Alabama,Arkansas,Florida,Georgia,Kentucky,Louisiana,Mississippi,North Carolina,Oklahoma,South Carolina,Texas",13,11,"Species of Concern","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Elanoides"
"Elanus leucurus","White-tailed Kite","Species","Exact Match","Birds","Elanus leucurus","California,Florida,Texas","Florida,Louisiana",3,2,"Species of Concern","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Elanus"
"Elaphe guttata","Cornsnake","Species","Exact Match","Reptiles","Elaphe g. guttata,Elaphe guttata","Delaware,Maryland,New Jersey,Utah","Kentucky",4,1,NA,"Animalia","Chordata","Reptilia","Squamata","Colubridae","Elaphe"
"Elaphe guttata emoryi","Great plains ratsnake","Subspecies","Exact Match","Reptiles","Elaphe guttata emoryi,Pantherophis emoryi","","Illinois,Missouri",0,2,NA,"Animalia","Chordata","Reptilia","Squamata","Colubridae","Elaphe"
"Elaphe vulpina","western fox snake","Species","Exact Match","Reptiles","Elaphe vulpina,Pantherophis vulpinus","Michigan,Minnesota,Missouri","Missouri",3,1,NA,"Animalia","Chordata","Reptilia","Squamata","Colubridae","Elaphe"
"Elaphoidella","A cave obligate copepod","Genus","Exact Match","Other","Elaphoidella n. sp.","","Texas",0,1,NA,"Animalia","Arthropoda","Maxillopoda","Harpacticoida","Canthocamptidae","Elaphoidella"
"Elasmostethus atricornis","Hercules club stink bug","Species","Exact Match","Insects","Elasmostethus atricornis","Virginia","Virginia",1,1,NA,"Animalia","Arthropoda","Insecta","Hemiptera","Acanthosomatidae","Elasmostethus"
"Elassoma alabamae","Spring Pygmy Sunfish","Species","Exact Match","Fish","Elassoma alabamae","Alabama","Alabama",1,1,"Threatened","Animalia","Chordata","Teleostei","Perciformes","Elassomatidae","Elassoma"
"Elassoma boehlkei","Carolina Pygmy Sunfish","Species","Exact Match","Fish","Elassoma boehlkei","North Carolina,South Carolina","North Carolina,South Carolina",2,2,"Under Review in the Candidate or Petition Process","Animalia","Chordata","Teleostei","Perciformes","Elassomatidae","Elassoma"
"Elassoma evergladei","Everglades Pygmy Sunfish","Species","Exact Match","Fish","Elassoma evergladei","North Carolina","North Carolina,South Carolina",1,2,NA,"Animalia","Chordata","Teleostei","Perciformes","Elassomatidae","Elassoma"
