"scientificname","commonname","taxonomicrank","matchmethod","taxonomicgroup","scientificnames_submitted","statelist_2005","statelist_2015","sgcn2005","sgcn2015","listingStatus","kingdom","phylum","class","order","family","genus"
"Chlorurus perspicillatus","spectacled parrtofish, uhu","Species","Fuzzy Match","Fish","Chlorurus perspicilatus","Hawaii","Hawaii",1,1,NA,"Animalia","Chordata","Teleostei","Perciformes","Scaridae","Chlorurus"
"Chordeiles minor","Common Nighthawk","Species","Exact Match","Birds","Chordeiles minor","Connecticut,Delaware,Illinois,Indiana,Iowa,Kansas,Maine,Maryland,Michigan,Minnesota,New Hampshire,New Jersey,New York,North Carolina,Ohio,Oregon,Rhode Island,Texas,Vermont,West Virginia","Arizona,Arkansas,Connecticut,Delaware,District of Columbia,Florida,Idaho,Illinois,Indiana,Iowa,Kansas,Maine,Maryland,Massachusetts,Michigan,Minnesota,Nevada,New Hampshire,New Jersey,New Mexico,New York,Oregon,Pennsylvania,Tennessee,Vermont,West Virginia,Wisconsin",20,27,NA,"Animalia","Chordata","Aves","Caprimulgiformes","Caprimulgidae","Chordeiles"
"Chromis hanui","chocolate-dip chromis","Species","Exact Match","Fish","Chromis hanui","Hawaii","Hawaii",1,1,NA,"Animalia","Chordata","Teleostei","Perciformes","Pomacentridae","Chromis"
"Chromis ovalis","oval chromis","Species","Exact Match","Fish","Chromis ovalis","Hawaii","Hawaii",1,1,NA,"Animalia","Chordata","Teleostei","Perciformes","Pomacentridae","Chromis"
"Chromis struhsakeri","Struhsaker's chromis","Species","Exact Match","Fish","Chromis struhsakeri","Hawaii","Hawaii",1,1,NA,"Animalia","Chordata","Teleostei","Perciformes","Pomacentridae","Chromis"
"Chrysemys picta bellii","western painted turtle","Subspecies","Fuzzy Match","Reptiles","Chrysemys picta belli,Chrysemys picta bellii","Arizona,New Mexico,Oregon,Wyoming","Oregon,Wyoming",4,2,NA,"Animalia","Chordata","Reptilia","Testudines","Emydidae","Chrysemys"
"Chrysobothris horningi","A Metallic Wood-boring Beetle","Species","Exact Match","Insects","Chrysobothris horningi","","Idaho",0,1,NA,"Animalia","Arthropoda","Insecta","Coleoptera","Buprestidae","Chrysobothris"
"Chrysobothris idahoensis","A Metallic Wood-boring Beetle","Species","Exact Match","Insects","Chrysobothris idahoensis","","Idaho",0,1,NA,"Animalia","Arthropoda","Insecta","Coleoptera","Buprestidae","Chrysobothris"
"Chrysymenia glebosa","No Common Name","Species","Exact Match","Other","Chrysymenia glebosa","Hawaii","Hawaii",1,1,NA,"Plantae","Rhodophyta","Florideophyceae","Rhodymeniales","Rhodymeniaceae","Chrysymenia"
"Cibotium","hapuu","Genus","Exact Match","Plants","Cibotium spp.","Hawaii","Hawaii",1,1,NA,"Plantae","Tracheophyta","Polypodiopsida","Cyatheales","Cibotiaceae","Cibotium"
"Cibotium chamissoi","hapuu","Species","Exact Match","Plants","Cibotium chamissoi","Hawaii","Hawaii",1,1,NA,"Plantae","Tracheophyta","Polypodiopsida","Cyatheales","Cibotiaceae","Cibotium"
"Cibotium glaucum","hapuu","Species","Exact Match","Plants","Cibotium glaucum","Hawaii","Hawaii",1,1,NA,"Plantae","Tracheophyta","Polypodiopsida","Cyatheales","Cibotiaceae","Cibotium"
"Cicindela arenicola","Idaho Dunes Tiger Beetle","Species","Exact Match","Insects","Cicindela arenicola","Idaho","Idaho",1,1,"Species of Concern","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Cicindela"
"Cicindela columbica","Columbia River Tiger Beetle","Species","Exact Match","Insects","Cicindela columbica","Idaho,Washington","Idaho,Washington",2,2,"Resolved Taxon","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Cicindela"
"Cicindela decemnotata montevolans","A Tiger Beetle","Subspecies","Exact Match","Insects","Cicindela decemnotata montevolans","","Idaho",0,1,NA,"Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Cicindela"
"Cicindela hirticollis siuslawensis","Siuslaw sand tiger beetle","Subspecies","Exact Match","Insects","Cicindela hirticollis siuslawensis","Washington","Washington",1,1,NA,"Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Cicindela"
"Cicindela plutonica","Alpine Tiger Beetle","Species","Exact Match","Insects","Cicindela plutonica","Idaho","Idaho",1,1,NA,"Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Cicindela"
"Cicindela waynei","Bruneau Tiger Beetle","Species","Exact Match","Insects","Cicindela waynei","Idaho","Idaho",1,1,NA,"Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Cicindela"
"Cinetorhynchus hawaiiensis","Hawaiian hinge-beak shrimp","Species","Exact Match","Other","Cinetorhynchus hawaiiensi,Cinetorhynchus hawaiiensis","Hawaii","Hawaii",1,1,NA,"Animalia","Arthropoda","Malacostraca","Decapoda","Rhynchocinetidae","Cinetorhynchus"
"Cinetorhynchus hendersoni","Henderson's hinge-beak shrimp","Species","Exact Match","Other","Cinetorhynchus hendersoni","Hawaii","Hawaii",1,1,NA,"Animalia","Arthropoda","Malacostraca","Decapoda","Rhynchocinetidae","Cinetorhynchus"
"Cinygma dimicki","A Mayfly","Species","Exact Match","Insects","Cinygma dimicki","Idaho","Idaho",1,1,NA,"Animalia","Arthropoda","Insecta","Ephemeroptera","Heptageniidae","Cinygma"
"Cinygmula gartrelli","A mayfly","Species","Exact Match","Insects","Cinygmula gartrelli","","Washington",0,1,NA,"Animalia","Arthropoda","Insecta","Ephemeroptera","Heptageniidae","Cinygmula"
"Cirrhipathes anguina","Common Wire Coral","Species","Exact Match","Other Invertebrates","Cirrhipathes anguina","Hawaii","Hawaii",1,1,NA,"Animalia","Cnidaria","Anthozoa","Antipatharia","Antipathidae","Cirrhipathes"
"Cirripectes obscurus","gargantuan blenny, paoo","Species","Exact Match","Fish","Cirripectes obscurus","Hawaii","Hawaii",1,1,NA,"Animalia","Chordata","Teleostei","Perciformes","Blenniidae","Cirripectes"
"Cladactella manni","Mann's anemone, okole, okola","Species","Exact Match","Other Invertebrates","Cladactella manni","Hawaii","Hawaii",1,1,NA,"Animalia","Cnidaria","Anthozoa","Actiniaria","Actiniidae","Cladactella"
"Cladium jamaicense","uki","Species","Exact Match","Plants","Cladium jamaicense","Hawaii","Hawaii",1,1,NA,"Plantae","Tracheophyta","Magnoliopsida","Poales","Cyperaceae","Cladium"
"Clangula hyemalis","Long-tailed Duck","Species","Exact Match","Birds","Clangula hyemalis","Alaska,Connecticut,Delaware,Massachusetts,New Jersey,New York,Washington","Alaska,Delaware,Maine,Maryland,Massachusetts,New Jersey,New York,North Carolina,Pennsylvania,Washington",7,10,"Resolved Taxon","Animalia","Chordata","Aves","Anseriformes","Anatidae","Clangula"
"Claoxylon sandwicense","pooloa","Species","Exact Match","Plants","Claoxylon sandwicense","Hawaii","Hawaii",1,1,NA,"Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","Claoxylon"
"Cleptornis marchei","Golden White-eye","Species","Exact Match","Birds","Cleptornis marchei","Northern Mariana Islands","Northern Mariana Islands",1,1,NA,"Animalia","Chordata","Aves","Passeriformes","Zosteropidae","Cleptornis"
"Clermontia","oha, oha wai, haha, oha kepau","Genus","Exact Match","Plants","Clermontia spp.","Hawaii","Hawaii",1,1,NA,"Plantae","Tracheophyta","Magnoliopsida","Asterales","Campanulaceae","Clermontia"
"Clermontia clermontioides","<U+02BB>Oha Wai","Species","Exact Match","Plants","Clermontia clermontioides","Hawaii","Hawaii",1,1,NA,"Plantae","Tracheophyta","Magnoliopsida","Asterales","Campanulaceae","Clermontia"
"Clermontia drepanomorpha","no common name","Species","Exact Match","Plants","Clermontia drepanomorpha","Hawaii","Hawaii",1,1,"Endangered","Plantae","Tracheophyta","Magnoliopsida","Asterales","Campanulaceae","Clermontia"
"Clermontia fauriei","hahaaiakamanu","Species","Exact Match","Plants","Clermontia fauriei","Hawaii","Hawaii",1,1,NA,"Plantae","Tracheophyta","Magnoliopsida","Asterales","Campanulaceae","Clermontia"
"Clermontia lindseyana","no common name","Species","Exact Match","Plants","Clermontia lindseyana","Hawaii","Hawaii",1,1,"Endangered","Plantae","Tracheophyta","Magnoliopsida","Asterales","Campanulaceae","Clermontia"
"Clermontia oblongifolia ssp. brevipes","oha wai","Subspecies","Exact Match","Plants","Clermontia oblongifolia ssp. brevipes,Clermontia oblongifolia subsp. brevipes","Hawaii","Hawaii",1,1,NA,"Plantae","Tracheophyta","Magnoliopsida","Asterales","Campanulaceae","Clermontia"
"Clermontia oblongifolia ssp. mauiensis","<U+02BB>Oha Wai","Subspecies","Exact Match","Other","Clermontia oblongifolia ssp. mauiensis,Clermontia oblongifolia subsp. mauiensis","Hawaii","Hawaii",1,1,NA,"Plantae","Tracheophyta","Magnoliopsida","Asterales","Campanulaceae","Clermontia"
"Clermontia peleana ssp. peleana","<U+02BB>Oha Wai","Subspecies","Exact Match","Other","Clermontia peleana ssp. peleana,Clermontia peleana subsp. peleana","Hawaii","Hawaii",1,1,NA,"Plantae","Tracheophyta","Magnoliopsida","Asterales","Campanulaceae","Clermontia"
"Clermontia pyrularia","<U+02BB>Oha Wai","Species","Exact Match","Plants","Clermontia pyrularia","Hawaii","Hawaii",1,1,"Endangered","Plantae","Tracheophyta","Magnoliopsida","Asterales","Campanulaceae","Clermontia"
"Clermontia samuelii ssp. hanaensis","No Common Name","Subspecies","Exact Match","Other","Clermontia samuelii ssp. hanaensis,Clermontia samuelii subsp. hanaensis","Hawaii","Hawaii",1,1,NA,"Plantae","Tracheophyta","Magnoliopsida","Asterales","Campanulaceae","Clermontia"
"Clermontia samuelii ssp. samuelii","no common name","Subspecies","Exact Match","Plants","Clermontia samuelii ssp. samuelii,Clermontia samuelii subsp. samuelii","Hawaii","Hawaii",1,1,NA,"Plantae","Tracheophyta","Magnoliopsida","Asterales","Campanulaceae","Clermontia"
"Clithon cariosus","pipiwai","Unknown Taxonomic Rank","Legacy Match","Mollusks","Clithon cariosus","Hawaii","Hawaii",1,1,NA,NA,NA,NA,NA,NA,NA
"Clithon neglectus","hihiwai, pipipi, pipipi kai, pipipi wai","Unknown Taxonomic Rank","Legacy Match","Mollusks","Clithon neglectus","Hawaii","Hawaii",1,1,NA,NA,NA,NA,NA,NA,NA
"Clupea pallasii","Pacific herring (Cherry Pt, Discovery Bay)","Species","Fuzzy Match","Fish","Clupea pallasi,Clupea pallasii","Washington","Alaska,Oregon,Washington",1,3,NA,"Animalia","Chordata","Teleostei","Clupeiformes","Clupeidae","Clupea"
"Coccyzus americanus","Yellow-billed Cuckoo","Species","Exact Match","Birds","Coccyzus americanus,Coccyzus americanus occidentalis","Arizona,Arkansas,California,Colorado,Connecticut,Idaho,Illinois,Iowa,Louisiana,Michigan,Montana,Nebraska,Nevada,New Jersey,New Mexico,North Carolina,Ohio,Rhode Island,Tennessee,Texas,Utah,Virginia,Virgin Islands,Washington,Wisconsin,Wyoming","Arizona,Arkansas,California,Colorado,Connecticut,District of Columbia,Idaho,Illinois,Iowa,Maine,Minnesota,Missouri,Nevada,New Jersey,New Mexico,Ohio,Rhode Island,South Carolina,Texas,Utah,Virginia,Washington,Wyoming",26,23,"Threatened","Animalia","Chordata","Aves","Cuculiformes","Cuculidae","Coccyzus"
"Codium cicatrix","No Common Name","Species","Exact Match","Other","Codium cicatrix","Hawaii","Hawaii",1,1,NA,"Plantae","Chlorophyta","Ulvophyceae","Bryopsidales","Codiaceae","Codium"
"Codium extricatum","No Common Name","Species","Exact Match","Other","Codium extricatum","Hawaii","Hawaii",1,1,NA,"Plantae","Chlorophyta","Ulvophyceae","Bryopsidales","Codiaceae","Codium"
"Coenagrion interrogatum","Subarctic bluet","Species","Exact Match","Insects","Coenagrion interrogatum","Michigan,Montana,New York,Vermont,Washington,Wisconsin","Minnesota,Vermont,Washington",6,3,NA,"Animalia","Arthropoda","Insecta","Odonata","Coenagrionidae","Coenagrion"
"Coleoptera","beetles","Order","Exact Match","Insects","Coleoptera","Hawaii","Hawaii",1,1,NA,"Animalia","Arthropoda","Insecta","Coleoptera",NA,NA
"Collembola","springtails","Class","Exact Match","Other Invertebrates","Collembola","Hawaii","Hawaii",1,1,NA,"Animalia","Arthropoda","Collembola",NA,NA,NA
"Colligyrus greggi","Rocky Mountain Duskysnail","Species","Exact Match","Mollusks","Colligyrus greggi","Montana,Utah,Wyoming","Idaho,Utah",3,2,NA,"Animalia","Mollusca","Gastropoda","Littorinimorpha","Amnicolidae","Colligyrus"
"Colubrina oppositifolia","no common name","Species","Exact Match","Plants","Colubrina oppositifolia","Hawaii","Hawaii",1,1,"Endangered","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rhamnaceae","Colubrina"
"Conferva sandvicensis","No Common Name","Species","Exact Match","Other","Conferva sandvicensis","Hawaii","Hawaii",1,1,NA,"Plantae","Chlorophyta","Chlorophyta incertae sedis",NA,NA,"Conferva"
"Contia tenuis","Sharp-tailed snake","Species","Exact Match","Reptiles","Contia tenuis","Washington","Washington",1,1,NA,"Animalia","Chordata","Reptilia","Squamata","Colubridae","Contia"
"Contopus cooperi","Olive-sided flycatcher","Species","Fuzzy Match","Birds","Contopus borealis,Contopus cooperi","Alaska,Arizona,California,Colorado,Connecticut,Maine,Maryland,Michigan,Minnesota,Nevada,New Mexico,New York,Oregon,Pennsylvania,Tennessee,Vermont,West Virginia,Wisconsin","Alaska,Arizona,California,Colorado,Delaware,Idaho,Iowa,Maine,Maryland,Massachusetts,Minnesota,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,Oregon,Pennsylvania,Tennessee,Utah,Vermont,West Virginia,Wisconsin",18,24,"Species of Concern","Animalia","Chordata","Aves","Passeriformes","Tyrannidae","Contopus"
"Copablepharon columbia","A noctuid moth","Species","Exact Match","Insects","Copablepharon columbia","","Washington",0,1,NA,"Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Copablepharon"
"Copablepharon fuscum","Sand-verbena moth","Species","Exact Match","Insects","Copablepharon fuscum","Washington","Washington",1,1,"Under Review in the Candidate or Petition Process","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Copablepharon"
"Copablepharon mutans","A noctuid moth","Species","Exact Match","Insects","Copablepharon mutans","","Washington",0,1,NA,"Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Copablepharon"
"Copablepharon viridisparsa hopfingeri","A noctuid moth","Subspecies","Exact Match","Insects","Copablepharon viridisparsa hopfingeri","","Washington",0,1,NA,"Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Copablepharon"
"Coprosma","Pilo","Genus","Exact Match","Plants","Coprosma spp.","Hawaii","Hawaii",1,1,NA,"Plantae","Tracheophyta","Magnoliopsida","Gentianales","Rubiaceae","Coprosma"
"Coprosma elliptica","Pilo","Species","Exact Match","Plants","Coprosma elliptica","Hawaii","Hawaii",1,1,NA,"Plantae","Tracheophyta","Magnoliopsida","Gentianales","Rubiaceae","Coprosma"
"Coprosma ernodeoides","kukainene","Species","Exact Match","Plants","Coprosma ernodeoides","Hawaii","Hawaii",1,1,NA,"Plantae","Tracheophyta","Magnoliopsida","Gentianales","Rubiaceae","Coprosma"
"Coprosma kauensis","Pilo","Species","Exact Match","Plants","Coprosma kauensis","Hawaii","Hawaii",1,1,NA,"Plantae","Tracheophyta","Magnoliopsida","Gentianales","Rubiaceae","Coprosma"
"Coprosma menziesii","Pilo","Species","Exact Match","Plants","Coprosma menziesii","Hawaii","Hawaii",1,1,NA,"Plantae","Tracheophyta","Magnoliopsida","Gentianales","Rubiaceae","Coprosma"
"Coprosma montana","Pilo","Species","Exact Match","Plants","Coprosma montana","Hawaii","Hawaii",1,1,NA,"Plantae","Tracheophyta","Magnoliopsida","Gentianales","Rubiaceae","Coprosma"
"Coprosma ochracea","Pilo","Species","Exact Match","Plants","Coprosma ochracea","Hawaii","Hawaii",1,1,NA,"Plantae","Tracheophyta","Magnoliopsida","Gentianales","Rubiaceae","Coprosma"
"Coprosma pubens","Pilo","Species","Exact Match","Plants","Coprosma pubens","Hawaii","Hawaii",1,1,"Resolved Taxon","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Rubiaceae","Coprosma"
"Coprosma rhynchocarpa","Pilo","Species","Exact Match","Plants","Coprosma rhynchocarpa","Hawaii","Hawaii",1,1,NA,"Plantae","Tracheophyta","Magnoliopsida","Gentianales","Rubiaceae","Coprosma"
"Corallophila ptilocladioides","No Common Name","Species","Exact Match","Other","Corallophila ptilocladioides","Hawaii","Hawaii",1,1,NA,"Plantae","Rhodophyta","Florideophyceae","Ceramiales","Ceramiaceae","Corallophila"
"Coris flavovittata","yellowstripe coris, hilu","Species","Exact Match","Fish","Coris flavovittata","Hawaii","Hawaii",1,1,NA,"Animalia","Chordata","Teleostei","Perciformes","Labridae","Coris"
"Coris venusta","Elegant Coris","Species","Exact Match","Fish","Coris venusta","Hawaii","Hawaii",1,1,NA,"Animalia","Chordata","Teleostei","Perciformes","Labridae","Coris"
"Corvus hawaiiensis","Hawaiian crow, alala","Species","Exact Match","Birds","Corvus hawaiiensis","Hawaii","Hawaii",1,1,"Endangered","Animalia","Chordata","Aves","Passeriformes","Corvidae","Corvus"
"Corvus kubaryi","Mariana Crow","Species","Exact Match","Birds","Corvus kubaryi","Guam,Northern Mariana Islands","Northern Mariana Islands",2,1,"Endangered","Animalia","Chordata","Aves","Passeriformes","Corvidae","Corvus"
"Corynorhinus townsendii","Townsend's Big-eared Bat","Species","Exact Match","Mammals","Corynorhinus townsendii,Corynorhinus  townsendii","California,Idaho,Kansas,Montana,Nebraska,Nevada,Oregon,South Dakota,Texas,Utah,Wyoming","California,Idaho,Kansas,Nebraska,Nevada,New Mexico,North Carolina,North Dakota,Oregon,South Dakota,Utah,Washington,Wyoming",11,13,NA,"Animalia","Chordata","Mammalia","Chiroptera","Vespertilionidae","Corynorhinus"
"Coscinaraea wellsi","Wells Coral","Species","Exact Match","Other Invertebrates","Coscinaraea wellsi","Hawaii","Hawaii",1,1,NA,"Animalia","Cnidaria","Anthozoa","Scleractinia","Siderastreidae","Coscinaraea"
"Cosmarium depauperatum","No Common Name","Species","Exact Match","Other","Cosmarium depauperatum","Hawaii","Hawaii",1,1,NA,"Plantae","Charophyta","Conjugatophyceae","Zygnematales","Desmidiaceae","Cosmarium"
"Cosmocampus balli","Ball's pipefish","Species","Exact Match","Fish","Cosmocampus balli","Hawaii","Hawaii",1,1,NA,"Animalia","Chordata","Teleostei","Gasterosteiformes","Syngnathidae","Cosmocampus"
"Cottus extensus","Bear Lake Sculpin","Species","Exact Match","Fish","Cottus extensus","Idaho,Utah","Idaho,Utah",2,2,"Resolved Taxon","Animalia","Chordata","Teleostei","Scorpaeniformes","Cottidae","Cottus"
"Cottus marginatus","Margined sculpin","Species","Exact Match","Fish","Cottus marginatus","Oregon,Washington","Washington",2,1,"Species of Concern","Animalia","Chordata","Teleostei","Scorpaeniformes","Cottidae","Cottus"
"Cottus pitensis","Pit Sculpin","Species","Exact Match","Fish","Cottus pitensis","","Oregon",0,1,NA,"Animalia","Chordata","Teleostei","Scorpaeniformes","Cottidae","Cottus"
"Coturnicops noveboracensis noveboracensis","Yellow Rail","Subspecies","Exact Match","Birds","Coturnicops noveboracensis noveboracensis","Florida","Oregon",1,1,NA,"Animalia","Chordata","Aves","Gruiformes","Rallidae","Coturnicops"
"Couesius plumbeus","Lake Chub","Species","Exact Match","Fish","Couesius plumbeus","Alaska,Colorado,Idaho,Illinois,Massachusetts,Minnesota,Nebraska,South Dakota,Wyoming","Alaska,Colorado,Illinois,Massachusetts,Minnesota,Nebraska,New York,South Dakota,Washington",9,9,NA,"Animalia","Chordata","Teleostei","Cypriniformes","Cyprinidae","Couesius"
"Crassadoma gigantea","Rock Scallop","Species","Exact Match","Mollusks","Crassadoma gigantea","","Oregon",0,1,NA,"Animalia","Mollusca","Bivalvia","Ostreoida","Pectinidae","Crassadoma"
"Cribrarula gaskoini","Gaskoin's cowry, leho","Species","Followed Accepted AphiaID","Mollusks","Cypraea gaskoini","Hawaii","Hawaii",1,1,NA,"Animalia","Mollusca","Gastropoda","Littorinimorpha","Cypraeidae","Cribrarula"
"Crotalus oreganus","Western Rattlesnake","Species","Exact Match","Reptiles","Crotalus oreganus","","Oregon",0,1,NA,"Animalia","Chordata","Reptilia","Squamata","Viperidae","Crotalus"
"Crotaphytus bicinctores","Great Basin Collared Lizard","Species","Exact Match","Reptiles","Crotaphytus bicinctores,Crotaphytus bicynctores","Idaho,Nevada","Idaho,Nevada",2,2,NA,"Animalia","Chordata","Reptilia","Squamata","Iguanidae","Crotaphytus"
"Crouania","No Common Name","Genus","Exact Match","Other","Crouania sp.","Hawaii","Hawaii",1,1,NA,"Plantae","Rhodophyta","Florideophyceae","Ceramiales","Ceramiaceae","Crouania"
"Cryptocarya mannii","No Common Name","Species","Fuzzy Match","Other","Cryptocarya mannii,Cryptocarya oahuense","Hawaii","Hawaii",1,1,"Resolved Taxon","Plantae","Tracheophyta","Magnoliopsida","Laurales","Lauraceae","Cryptocarya"
"Cryptomastix devia","Puget Oregonian","Species","Exact Match","Mollusks","Cryptomastix devia","","Washington",0,1,"Under Review in the Candidate or Petition Process","Animalia","Mollusca","Gastropoda","Stylommatophora","Polygyridae","Cryptomastix"
"Cryptomastix harfordiana","Salmon Oregonian","Species","Exact Match","Mollusks","Cryptomastix harfordiana","Idaho","Idaho",1,1,NA,"Animalia","Mollusca","Gastropoda","Stylommatophora","Polygyridae","Cryptomastix"
"Cryptomastix hendersoni","Columbia Oregonian","Species","Exact Match","Mollusks","Cryptomastix hendersoni","Oregon,Washington","Washington",2,1,"Under Review in the Candidate or Petition Process","Animalia","Mollusca","Gastropoda","Stylommatophora","Polygyridae","Cryptomastix"
"Cryptomastix magnidentata","Mission Creek Oregonian","Species","Exact Match","Mollusks","Cryptomastix magnidentata","Idaho","Idaho,Washington",1,2,"Species of Concern","Animalia","Mollusca","Gastropoda","Stylommatophora","Polygyridae","Cryptomastix"
"Cryptomastix mullani","Coeur d'Alene Oregonian","Species","Exact Match","Mollusks","Cryptomastix mullani","","Idaho",0,1,NA,"Animalia","Mollusca","Gastropoda","Stylommatophora","Polygyridae","Cryptomastix"
"Cryptomastix populi","An Oregonian (Hells Canyon)","Unknown Taxonomic Rank","Legacy Match","Mollusks","Cryptomastix populi","Idaho","Idaho,Washington",1,2,NA,NA,NA,NA,NA,NA,NA
"Cryptomastix sanburni","Kingston Oregonian","Species","Exact Match","Mollusks","Cryptomastix sanburni","Idaho","Idaho",1,1,"Resolved Taxon","Animalia","Mollusca","Gastropoda","Stylommatophora","Polygyridae","Cryptomastix"
"Ctenitis squamigera","no common name","Species","Exact Match","Plants","Ctenitis squamigera","Hawaii","Hawaii",1,1,"Endangered","Plantae","Tracheophyta","Polypodiopsida","Polypodiales","Dryopteridaceae","Ctenitis"
"Cyanea","no common name","Genus","Exact Match","Plants","Cyanea spp.","Hawaii","Hawaii",1,1,NA,"Animalia","Cnidaria","Scyphozoa","Semaeostomeae","Cyaneidae","Cyanea"
"Cyanea acuminata","no common name","Species","Exact Match","Plants","Cyanea acuminata","Hawaii","Hawaii",1,1,"Endangered","Plantae","Tracheophyta","Magnoliopsida","Asterales","Campanulaceae","Cyanea"
"Cyanea asarifolia","haha","Species","Exact Match","Plants","Cyanea asarifolia","Hawaii","Hawaii",1,1,"Endangered","Plantae","Tracheophyta","Magnoliopsida","Asterales","Campanulaceae","Cyanea"
"Cyanea aspleniifolia","Haha","Species","Fuzzy Match","Plants","Cyanea asplenifolia","Hawaii","Hawaii",1,1,"Endangered","Plantae","Tracheophyta","Magnoliopsida","Asterales","Campanulaceae","Cyanea"
"Cyanea calycina","Haha","Species","Exact Match","Other","Cyanea calycina","","Hawaii",0,1,"Endangered","Plantae","Tracheophyta","Magnoliopsida","Asterales","Campanulaceae","Cyanea"
"Cyanea copelandii ssp. copelandii","Haha","Subspecies","Exact Match","Other","Cyanea copelandii ssp. copelandii,Cyanea copelandii subsp. copelandii","Hawaii","Hawaii",1,1,"Endangered","Plantae","Tracheophyta","Magnoliopsida","Asterales","Campanulaceae","Cyanea"
"Cyanea copelandii ssp. haleakalaensis","no common name","Subspecies","Exact Match","Plants","Cyanea copelandii ssp. haleakalaensis,Cyanea copelandii subsp. haleakalaensis","Hawaii","Hawaii",1,1,NA,"Plantae","Tracheophyta","Magnoliopsida","Asterales","Campanulaceae","Cyanea"
"Cyanea crispa","Haha","Species","Exact Match","Plants","Cyanea crispa","Hawaii","Hawaii",1,1,"Endangered","Plantae","Tracheophyta","Magnoliopsida","Asterales","Campanulaceae","Cyanea"
"Cyanea dolichopoda","Haha","Species","Exact Match","Other","Cyanea dolichopoda","","Hawaii",0,1,"Endangered","Plantae","Tracheophyta","Magnoliopsida","Asterales","Campanulaceae","Cyanea"
"Cyanea dunbariae","Haha","Species","Fuzzy Match","Other","Cyanea dunbariae,Cyanea dunbarii","Hawaii","Hawaii",1,1,"Endangered","Plantae","Tracheophyta","Magnoliopsida","Asterales","Campanulaceae","Cyanea"
"Cyanea eleeleensis","haha","Species","Exact Match","Plants","Cyanea eleeleensis","Hawaii","Hawaii",1,1,"Endangered","Plantae","Tracheophyta","Magnoliopsida","Asterales","Campanulaceae","Cyanea"
"Cyanea gibsonii","haha","Species","Exact Match","Plants","Cyanea gibsonii,Cyanea macrostegia ssp. gibsonii","Hawaii","Hawaii",1,1,"Endangered","Plantae","Tracheophyta","Magnoliopsida","Asterales","Campanulaceae","Cyanea"
"Cyanea glabra","haha","Species","Exact Match","Plants","Cyanea glabra","Hawaii","Hawaii",1,1,"Endangered","Plantae","Tracheophyta","Magnoliopsida","Asterales","Campanulaceae","Cyanea"
"Cyanea grimesiana ssp. grimesiana","haha","Subspecies","Exact Match","Plants","Cyanea grimesiana ssp. grimesiana,Cyanea grimesiana subsp. grimesiana","Hawaii","Hawaii",1,1,"Endangered","Plantae","Tracheophyta","Magnoliopsida","Asterales","Campanulaceae","Cyanea"
"Cyanea grimesiana ssp. obatae","Haha","Subspecies","Exact Match","Other","Cyanea grimesiana ssp. obatae,Cyanea grimesiana subsp. obatae","Hawaii","Hawaii",1,1,"Endangered","Plantae","Tracheophyta","Magnoliopsida","Asterales","Campanulaceae","Cyanea"
"Cyanea hamatiflora ssp. carlsonii","haha","Subspecies","Exact Match","Plants","Cyanea hamatiflora ssp. carlsonii,Cyanea hamatiflora subsp. carlsonii","Hawaii","Hawaii",1,1,"Endangered","Plantae","Tracheophyta","Magnoliopsida","Asterales","Campanulaceae","Cyanea"
"Cyanea hamatiflora ssp. hamatiflora","no common name","Subspecies","Exact Match","Plants","Cyanea hamatiflora ssp. hamatiflora,Cyanea hamatiflora subsp. hamatiflora","Hawaii","Hawaii",1,1,"Endangered","Plantae","Tracheophyta","Magnoliopsida","Asterales","Campanulaceae","Cyanea"
"Cyanea horrida","haha","Species","Exact Match","Plants","Cyanea horrida","Hawaii","Hawaii",1,1,"Endangered","Plantae","Tracheophyta","Magnoliopsida","Asterales","Campanulaceae","Cyanea"
"Cyanea humboldtiana","no common name","Species","Exact Match","Plants","Cyanea humboldtiana","Hawaii","Hawaii",1,1,"Endangered","Plantae","Tracheophyta","Magnoliopsida","Asterales","Campanulaceae","Cyanea"
"Cyanea kauaulaensis","No Common Name","Species","Exact Match","Other","Cyanea kauaulaensis","","Hawaii",0,1,"Endangered","Plantae","Tracheophyta","Magnoliopsida","Asterales","Campanulaceae","Cyanea"
"Cyanea kolekoleensis","No Common Name","Species","Exact Match","Other","Cyanea kolekoleensis","","Hawaii",0,1,"Endangered","Plantae","Tracheophyta","Magnoliopsida","Asterales","Campanulaceae","Cyanea"
